หมวด,ชื่อเมนู,ราคาขาย,วัตถุดิบ,ปริมาณต่อจาน,หน่วย,ราคาต่อหน่วย,ต้นทุนต่อวัตถุดิบ
Thai Fusion,ข้าวหมูฮ้องไข่ลาวา (Braised pork belly lava egg rice),200,ไข่,1,,,
Thai Fusion,ข้าวหมูฮ้องไข่ลาวา (Braised pork belly lava egg rice),200,ข้าวหอม,1,,,
Thai Fusion,ข้าวหมูฮ้องไข่ลาวา (Braised pork belly lava egg rice),200,ส้มว่าส,1,,,
Thai Fusion,พะแนงแซลมอนย่าง (Panang salmon with rice),240,แซลมอน,1,,,
Thai Fusion,พะแนงแซลมอนย่าง (Panang salmon with rice),240,พะแนง paste,1,,,
Thai Fusion,ข้าวไก่ย่างซอสไข่เค็ม,220,ไก่,1,,,
Thai Fusion,ข้าวไก่ย่างซอสไข่เค็ม,220,salted egg sauce,1,,,
Thai Fusion,ข้าวผัดต้มยำกุ้ง,210,กุ้ง,1,,,
Thai Fusion,ข้าวผัดต้มยำกุ้ง,210,tom yum paste,1,,,
Thai Fusion,ข้าวแกงเขียวหวานเนื้อ,230,เนื้อ,1,,,
Thai Fusion,ข้าวแกงเขียวหวานเนื้อ,230,green curry paste,1,,,
Thai Fusion,สปาเก็ตตี้กะเพราเนื้อ (Holy basil beef pasta),220,Pasta,1,,,
Thai Fusion,สปาเก็ตตี้กะเพราเนื้อ (Holy basil beef pasta),220,beef,1,,,
Thai Fusion,สปาเก็ตตี้กะเพราเนื้อ (Holy basil beef pasta),220,basil,1,,,
Thai Fusion,ข้าวหมูทอดเกลือพริกไทย,185,หมู,1,,,
Thai Fusion,ข้าวหมูทอดเกลือพริกไทย,185,garlic,1,,,
Thai Fusion,ข้าวหมูทอดเกลือพริกไทย,185,pepper,1,,,
Thai Fusion,ข้าวผัดสมุนไพรไก่,200,ไก่,1,,,
Thai Fusion,ข้าวผัดสมุนไพรไก่,200,herbs,1,,,
Thai Fusion,ข้าวผัดสมุนไพรไก่,200,rice,1,,,
Thai Fusion,ยำแซลมอนอะโวคาโด,210,แซลมอน,1,,,
Thai Fusion,ยำแซลมอนอะโวคาโด,210,avocado,1,,,
Thai Fusion,ยำแซลมอนอะโวคาโด,210,lime concentrate,1,,,
Thai Fusion,ลาบปลาทับทิม (crispy snapper larb),220,ปลาทับทิม,1,,,
Thai Fusion,ลาบปลาทับทิม (crispy snapper larb),220,herbs,1,,,
Dessert,Strawberry Cloud Pancake,240,frozen strawberries,1,,,
Dessert,Strawberry Cloud Pancake,240,pancake mix,1,,,
Dessert,Salted Egg Lava Toast,220,Egg lava mix,1,,,
Dessert,Salted Egg Lava Toast,220,brioche,1,,,
Dessert,Pink Coconut Cheesecake,200,Cream cheese,1,,,
Dessert,Pink Coconut Cheesecake,200,coconut concentrate,1,,,
Dessert,Berry Açaí Bowl,210,Açaí puree,1,,,
Dessert,Berry Açaí Bowl,210,granola,1,,,
Dessert,Matcha Cookie Cheesecake,220,Cheese,1,,,
Dessert,Matcha Cookie Cheesecake,220,matcha powder,1,,,
Dessert,Double Chocolate Fudge Cake,250,Cacao powder,1,,,
Dessert,Double Chocolate Fudge Cake,250,chocolate,1,,,
Dessert,Lemon Blueberry Tart,230,Blueberry jam,1,,,
Dessert,Lemon Blueberry Tart,230,lemon curd,1,,,
Dessert,Mango Mango Pavlova,220,Mango puree,1,,,
Dessert,Mango Mango Pavlova,220,meringue,1,,,
Dessert,Vanilla Mille-feuille,240,Puff pastry,1,,,
Dessert,Vanilla Mille-feuille,240,cream,1,,,
Dessert,Caramel Apple Galette,200,Apples,1,,,
Dessert,Caramel Apple Galette,200,caramel sauce,1,,,
Pasta,Spaghetti Carbonara,220,Pasta,1,,,
Pasta,Spaghetti Carbonara,220,bacon,1,,,
Pasta,Spaghetti Carbonara,220,egg,1,,,
Pasta,Spaghetti Carbonara,220,cheese,1,,,
Pasta,Spaghetti Aglio e Olio with Shrimp,210,Pasta,1,,,
Pasta,Spaghetti Aglio e Olio with Shrimp,210,garlic,1,,,
Pasta,Spaghetti Aglio e Olio with Shrimp,210,shrimp,1,,,
Pasta,Pesto Chicken Linguine,230,Pasta,1,,,
Pasta,Pesto Chicken Linguine,230,pesto sauce,1,,,
Pasta,Pesto Chicken Linguine,230,chicken,1,,,
Pasta,Baked Mac & Cheese,210,Pasta,1,,,
Pasta,Baked Mac & Cheese,210,cheese mix,1,,,
Pasta,Margherita Pizza,250,Pizza flour,1,,,
Pasta,Margherita Pizza,250,mozzarella,1,,,
Pasta,Margherita Pizza,250,tomato,1,,,
Pasta,Salmon & Pesto Pizza,260,Salmon,1,,,
Pasta,Salmon & Pesto Pizza,260,pesto,1,,,
Pasta,Salmon & Pesto Pizza,260,cheese,1,,,
Pasta,Spicy Thai Basil Pizza,240,Thai basil,1,,,
Pasta,Spicy Thai Basil Pizza,240,chili,1,,,
Pasta,Spicy Thai Basil Pizza,240,cheese,1,,,
Pasta,Four‑Cheese Pizza,260,Mozzarella,1,,,
Pasta,Four‑Cheese Pizza,260,cheddar,1,,,
Pasta,Four‑Cheese Pizza,260,blue,1,,,
Pasta,Four‑Cheese Pizza,260,parmesan,1,,,
Pasta,Truffle Mushroom Pizza,260,Truffle oil,1,,,
Pasta,Truffle Mushroom Pizza,260,mushroom,1,,,
Pasta,Truffle Mushroom Pizza,260,cheese,1,,,
Pasta,Seafood Spaghetti,250,Pasta,1,,,
Pasta,Seafood Spaghetti,250,seafood mix,1,,,
Beverage,Latte (hot / iced),130,Specialty coffee bean,1,,,
Beverage,Latte (hot / iced),130,milk,1,,,
Beverage,Caramel Macchiato (iced),140,Coffee,1,,,
Beverage,Caramel Macchiato (iced),140,caramel syrup,1,,,
Beverage,Dirty Thai Tea,125,Thai tea concentrate,1,,,
Beverage,Dirty Thai Tea,125,espresso,1,,,
Beverage,Yuzu Espresso Tonic,150,Yuzu concentrate,1,,,
Beverage,Yuzu Espresso Tonic,150,espresso,1,,,
Beverage,Yuzu Espresso Tonic,150,tonic,1,,,
Beverage,Pink Guava Soda,140,Guava concentrate,1,,,
Beverage,Pink Guava Soda,140,soda,1,,,
Beverage,Lychee Rose Cold Brew,150,Cold brew coffee,1,,,
Beverage,Lychee Rose Cold Brew,150,lychee syrup,1,,,
Beverage,Mango Passion Mocktail,135,Mango concentrate,1,,,
Beverage,Mango Passion Mocktail,135,passionfruit,1,,,
Beverage,Berry Hibiscus Iced Tea,130,Hibiscus tea,1,,,
Beverage,Berry Hibiscus Iced Tea,130,berry concentrate,1,,,
Beverage,Matcha Latte (hot/iced),140,Matcha powder,1,,,
Beverage,Matcha Latte (hot/iced),140,milk,1,,,
Beverage,Sparkling Yuzu Mint,135,Yuzu syrup,1,,,
Beverage,Sparkling Yuzu Mint,135,mint leaves,1,,,
Beverage,Sparkling Yuzu Mint,135,soda,1,,,
