ะ,ITEM NO.,Name,Group,Order,Supplier,Q.,Unit PO, Cost PO,Q.,Unit For Stock, Cost For Stock,Q.,Unit For Recipe, Cost For Recipe,Price Update 
5,FF-0004,ต้นหอม 150กรัม,FF,4,แม็คโคร,1,แพ็ค,  49.00 ,1,แพ็ค, ฿ 49.00 ,150,กรัม, ฿ 0.33 ,26/03/26
6,FF-0005,แตงร้าน แพ็ค 500 กรัม,FF,5,แม็คโคร,1,แพ็ค,  22.00 ,1,แพ็ค, ฿ 22.00 ,500,กรัม, ฿ 0.04 ,26/03/26
7,FF-0006,มะนาวไร้เมล็ด,FF,6,ตลาดสด,1,กิโล,  60.00 ,1,กิโล, ฿ 60.00 ,1000,กรัม, ฿ 0.06 ,26/03/26
8,FF-0007,อกไก่บด,FF,7,แม็คโคร,1,กิโล,  85.00 ,1,กิโล, ฿ 85.00 ,1000,กรัม, ฿ 0.09 ,
9,FF-0008,ใบพาร์สเลย์ 100 กรัม (กก.ละ 199/0.2),FF,8,แม็คโคร,1,แพ็ค,  35.00 ,1,แพ็ค, ฿ 35.00 ,100,กรัม, ฿ 0.35 ,
10,FF-0009,หมูบด,FF,9,แม็คโคร,1,กิโล,  119.00 ,1,กิโล, ฿ 119.00 ,1000,กรัม, ฿ 0.12 ,
11,FF-0010,สันในไก่,FF,10,แม็คโคร,1,กิโล,  94.00 ,1,กิโล, ฿ 94.00 ,1000,กรัม, ฿ 0.09 ,
12,FF-0011,เส้นสด ก๋วยเตี๋ยวเส้นใหญ่ 1000 กรัม (ตัดแล้ว),FF,11,แม็คโคร,1,กิโล,  36.00 ,1,กิโล, ฿ 36.00 ,1000,กรัม, ฿ 0.04 ,26/03/26
13,FF-0012,หมูสามชั้นสไลด์,FF,12,แม็คโคร,1,แพ็ค,  240.00 ,1,กิโล, ฿ 240.00 ,1000,กรัม, ฿ 0.24 ,
14,FF-0013,มันฝรั่ง,FF,13,แม็คโคร,1,แพ็ค,  42.00 ,1,กิโล, ฿ 42.00 ,1000,กรัม, ฿ 0.04 ,
15,FF-0014,แอปเปิ้ลเขียว เบอร์ 100 แพ็ค x 10 ลูก,FF,14,แม็คโคร,1,แพ็ค,  159.00 ,10,ลูก, ฿ 15.90 ,10,ลูก, ฿ 1.59 ,
33,FF-0015,มะเขือเทศท้อ แพ็ค 1000 กรัม,FF,15,แม็คโคร,1,แพ็ค,  39.00 ,1,แพ็ค, ฿ 39.00 ,1000,กรัม, ฿ 0.04 ,26/03/26
35,FF-0016,คะน้า 300 กรัม,FF,16,แม็คโคร,1,แพ็ค,  25.00 ,1,แพ็ค, ฿ 25.00 ,300,กรัม, ฿ 0.08 ,
36,FF-0017,เส้นเหลือง,FF,17,ตลาดสด,1,กิโล,  35.00 ,1,กิโล, ฿ 35.00 ,1000,กรัม, ฿ 0.04 ,26/03/26
37,FF-0018,แครอท จีน/เวียดนาม,FF,18,แม็คโคร,1,หัว,  25.00 ,1,หัว, ฿ 25.00 ,1000,กรัม, ฿ 0.03 ,26/03/26
38,FF-0019,ลูกชิ้นปลาเส้นทอดแบบใส่ในก๋วยเตี๋ยว,FF,19,แม็คโคร,1,แพ็ค,  200.00 ,1,แพ็ค, ฿ 200.00 ,500,กรัม, ฿ 0.40 ,
40,FF-0020,ปลาสาก,FF,20,ตลาดสด,1,ตัว,  108.00 ,1,ตัว, ฿ 108.00 ,1000,กรัม, ฿ 0.11 ,
41,FF-0021,เครื่องแกงกะทิ,FF,21,ป้าโต้ย,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,28/12/25
43,FF-0022,ใบมะกรูด เด็ดก้าน 50 กรัม,FF,22,แม็คโคร,1,แพ็ค,  15.00 ,1,แพ็ค, ฿ 15.00 ,50,กรัม, ฿ 0.30 ,
46,FF-0023,เส้นขนมจีนสด,FF,23,ตลาดสด,1,กิโล,  30.00 ,1,กิโล, ฿ 30.00 ,100,กรัม, ฿ 0.30 ,
50,FF-0024,โตฟุโออิชิ เต้าหู้นิ่มสูตรญี่ปุ่น 300 กรัม,FF,24,แม็คโคร,1,แพ็ค,  20.00 ,1,แพ็ค, ฿ 20.00 ,300,กรัม, ฿ 0.07 ,
51,FF-0025,สะโพกไก่ติดกระดูก (กก.ละ 81/10ชิ้น),FF,25,เบทาโกร,1,ชิ้น,  90.00 ,10,ชิ้น, ฿ 9.00 ,1,ชิ้น, ฿ 9.00 ,2/5/26
52,FF-0026,ผักชีใบเลื่อย,FF,26,ตลาดสด,1,มัด,  12.00 ,1,มัด, ฿ 12.00 ,200,กรัม, ฿ 0.06 ,26/03/26
53,FF-0027,พริกขี้นก,FF,27,ตลาดสด,1,ขีด,  60.00 ,1,ถุง, ฿ 60.00 ,100,กรัม, ฿ 0.60 ,
54,FF-0028,มะนาวไร้เมล็ด,FF,28,ตลาดสด,1,กิโล,  60.00 ,1,กิโล, ฿ 60.00 ,1000,กรัม, ฿ 0.06 ,26/03/26
56,FF-0029,เห็ดนางฟ้า 1000 กรัม,FF,29,แม็คโคร,1,แพ็ค,  100.00 ,1,แพ็ค, ฿ 100.00 ,1000,กรัม, ฿ 0.10 ,
58,FF-0030,น่องไก่ (เน้นสวยๆ ขนาดประมาณ 16 กรัม ชิ้นเท่าๆกัน),FF,30,แม็คโคร,1,ชิ้น,  10.00 ,1,ชิ้น, ฿ 10.00 ,1,ชิ้น, ฿ 10.00 ,
60,FF-0031,กวางตุ้ง แพ็ค 500 กรัม,FF,31,แม็คโคร,1,แพ็ค,  25.00 ,1,แพ็ค, ฿ 25.00 ,500,กรัม, ฿ 0.05 ,26/03/26
63,FF-0032,โครงไก่,FF,32,แม็คโคร,1,โครง,  21.00 ,1,โครง, ฿ 21.00 ,1,โครง, ฿ 21.00 ,
64,FF-0033,ปลากะพงขาวจัมโบ้ (1.5-3 กก.) แล่*,FF,33,แม็คโคร,1,ตัว,  135.00 ,1000,กรัม, ฿ 0.14 ,1,กรัม, ฿ 0.14 ,
65,FF-0034,ขิงแก่ 500 กรัม,FF,34,แม็คโคร,1,แพ็ค,  80.00 ,1,แพ็ค, ฿ 80.00 ,500,กรัม, ฿ 0.16 ,26/03/26
66,FF-0035,หมูสามชั้น (1 แผ่น 5-6 กิโล) กก.ละ,FF,35,เบทาโกร,1,แผ่น,  152.00 ,1,กิโล, ฿ 152.00 ,1000,กรัม, ฿ 0.15 ,31/7/25
68,FF-0036,ข่าแก่,FF,36,ตลาดสด,1,กิโล,  40.00 ,1,กิโล, ฿ 40.00 ,1000,กรัม, ฿ 0.04 ,
69,FF-0037,ขึ้นฉ่าย 300 กรัม,FF,37,แม็คโคร,1,แพ็ค,  49.00 ,1,แพ็ค, ฿ 49.00 ,300,กรัม, ฿ 0.16 ,
74,FF-0038,หอมแขก แพ็ค 1 กิโลกรัม,FF,38,แม็คโคร,1,แพ็ค,  39.00 ,1,แพ็ค, ฿ 39.00 ,1000,กรัม, ฿ 0.04 ,
77,FF-0039,ผักสลัดฟินเลย์,FF,39,ข้างบ้าน,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
80,FF-0040,เมจิ นมพาสเจอร์ไรซ์ รสจืด 2000 มล.,FF,40,แม็คโคร,1,แกลลอน,  95.00 ,1,แกลอน, ฿ 95.00 ,2000,กรัม, ฿ 0.05 ,
81,FF-0041,กล้วยหอม,FF,41,ตลาดสด,1,หวี,  90.00 ,13,ลููก, ฿ 6.92 ,1,ลูก, ฿ 6.92 ,26/03/26
84,FF-0042,ใบสะระแหน่,FF,42,แม็คโคร,1,แพ็ค,  19.00 ,1,แพ็ค, ฿ 19.00 ,300,กรัม, ฿ 0.06 ,26/03/26
88,FF-0043,ต้นอ่อนทานตะวัน,FF,43,แม็คโคร,1,แพ็ค,  65.00 ,1,แพ็ค, ฿ 65.00 ,500,กรัม, ฿ 0.13 ,
89,FF-0044,ผักชี 300 กรัม,FF,44,แม็คโคร,1,แพ็ค,  65.00 ,1,แพ็ค, ฿ 65.00 ,150,กรัม, ฿ 0.43 ,26/03/26
92,FF-0045,เห็ดหลินขาว,FF,45,แม็คโคร,1,แพ็ค,  14.00 ,1,แพ็ค, ฿ 14.00 ,150,กรัม, ฿ 0.09 ,
93,FF-0046,เรดโอ๊ค,FF,46,ข้างบ้าน,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
94,FF-0047,อัลฟาฟ่า,FF,47,แม็คโคร,1,กล่อง,  85.00 ,50,กรัม, ฿ 1.70 ,1,กรัม, ฿ 1.70 ,
95,FF-0048,กุ้งขาว (25-30 ตัวโล),FF,48,ตลาดสด,1,กิโล,  280.00 ,1,กิโล, ฿ 280.00 ,25,ตัว, ฿ 11.20 ,26/03/26
97,FF-0049,มะเขือเทศเชอร์รี่ 500 กรัม,FF,49,ตลาดสด,1,กล่อง,  80.00 ,1,กล่อง, ฿ 80.00 ,500,กรัม, ฿ 0.16 ,31/3/25
98,FF-0050,แรดิช,FF,50,แม็คโคร,1,กิโล,  85.00 ,1,กิโล, ฿ 85.00 ,1000,กรัม, ฿ 0.09 ,
99,FF-0051,อโวคาโดนำเข้า เบอร์ 48 1 ลูก,FF,51,แม็คโคร,1,ลูก,  39.00 ,1,ลูก, ฿ 39.00 ,1,ลูก, ฿ 39.00 ,
104,FF-0052,ต้นอ่อนทานตะวัน,FF,52,แม็คโคร,1,แพ๊ค,  65.00 ,1,แพ็ค, ฿ 65.00 ,500,กรัม, ฿ 0.13 ,
106,FF-0053,ผักสลัดคอส,FF,53,ข้างบ้าน,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
108,FF-0054,ออลลี่ ครีมเปรี้ยว 145 กรัม,FF,54,แม็คโคร,1,กระปุก,  39.00 ,1,กระปุก, ฿ 39.00 ,145,กรัม, ฿ 0.27 ,
109,FF-0055,สันในหมู กก.ละ,FF,55,แม็คโคร,1,กิโล,  152.00 ,1,กิโล, ฿ 152.00 ,1000,กรัม, ฿ 0.15 ,
111,FF-0056,กะปิกุ้งหวานท่าข้าม,FF,56,ตลาดสด,1,กระปุก,  90.00 ,1,กระปุก, ฿ 90.00 ,1000,กรัม, ฿ 0.09 ,
112,FF-0057,กะปิกุ้งเกาะลิบง (กะปิแกง),FF,57,ตลาดสด,1,กระปุก,  60.00 ,1,กระปุก, ฿ 60.00 ,1000,กรัม, ฿ 0.06 ,26/03/26
115,FF-0058,โหระพา (300 กรัม),FF,58,แม็คโคร,1,แพ็ค,  35.00 ,1,แพ็ค, ฿ 35.00 ,300,กรัม, ฿ 0.12 ,26/03/26
121,FF-0059,มันหมู,FF,59,ตลาดสด,1,กิโล,  65.00 ,1,กิโล, ฿ 65.00 ,1000,กรัม, ฿ 0.07 ,
126,FF-0060,หัวไหล่หมูบด กก.ละ,FF,60,แม็คโคร,1,กิโล,  119.00 ,1,กิโล, ฿ 119.00 ,1000,กรัม, ฿ 0.12 ,
127,FF-0061,เบียร์ ช้างคลาสสิค 620 มล.,FF,61,โลตัส,1,ขวด,  53.00 ,1,ขวด, ฿ 53.00 ,620,กรัม, ฿ 0.09 ,
131,FF-0062,พริกจินดาแดง (300 กรัม),FF,62,แม็คโคร,1,แพ็ค,  12.00 ,1,แพ็ค, ฿ 12.00 ,1000,กรัม, ฿ 0.01 ,26/03/26
135,FF-0063,เบียร์ ช้างคลาสสิค 620 มล.,FF,63,โลตัส,1,ขวด,- 33.00 ,1,ขวด,-฿ 33.00 ,1380,กรัม,-฿ 0.02 ,
133,FF-0064,ใบเตย,FF,64,ตลาดสด,1,มัด,  10.00 ,1,มัด, ฿ 10.00 ,100,กรัม, ฿ 0.10 ,
134,FF-0065,ไข่เป็ด,FF,65,ตลาดสด,1,ฟอง,  6.00 ,1,ฟอง, ฿ 6.00 ,1,ฟอง, ฿ 6.00 ,26/03/26
135,FF-0066,ผักสลัดแก้ว,FF,66,แม็คโคร,1,หัว,  89.00 ,1,หัว, ฿ 89.00 ,1000,กรัม, ฿ 0.09 ,
140,FF-0067,มะม่วงสุก,FF,67,แม็คโคร,1,กิโล,  59.00 ,1,กิโล, ฿ 59.00 ,1000,กรัม, ฿ 0.06 ,
141,FF-0068,เห็ดนางรมหลวง 200 กรัม,FF,68,แม็คโคร,1,แพ็ค,  29.00 ,1,แพ็ค, ฿ 29.00 ,200,กรัม, ฿ 0.15 ,
144,FF-0069,เลมอน มะนาวเหลือง #100 ลูกละ 12 บาท,FF,69,แม็คโคร,1,ลูก,  12.00 ,1,ลูก, ฿ 12.00 ,100,กรัม, ฿ 0.12 ,
148,FF-0070,ปีกไก่บน 2 กิโล ฟรีส,FF,70,เบทาโกร,1,แพ็ค,  84.00 ,1,แพ็ค, ฿ 84.00 ,2000,กรัม, ฿ 0.04 ,28/12/25
154,FF-0071,หัวไชเท้า,FF,71,แม็คโคร,1,หัว,  39.00 ,1,หัว, ฿ 39.00 ,1000,กรัม, ฿ 0.04 ,
163,FF-0072,กระดูกอ่อนหมู,FF,72,เบทาโกร,1,กิโล,  149.00 ,1,กิโล, ฿ 149.00 ,1000,กรัม, ฿ 0.15 ,2/5/26
,FF-0073,เครื่องแกงคั่ว,FF,73,ป้าโต้ย,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,28/12/25
166,FF-0074,พริกไทยอ่อน (กก.ละ 329) แพ็ค 200 กรัม,FF,74,แม็คโคร,1,แพ็ค,  79.00 ,1,แพ็ค, ฿ 79.00 ,200,กรัม, ฿ 0.40 ,26/03/26
167,FF-0075,พริกชี้ฟ้าแดง แพ็ค 100 กรัม,FF,75,แม็คโคร,1,แพ็ค,  19.00 ,1,แพ็ค, ฿ 19.00 ,100,กรัม, ฿ 0.19 ,
168,FF-0076,ฟาร์มเฮ้าส์ ขนมปัง รอยัลเบรด 275 กรัม,FF,76,แม็คโคร,1,แพ็ค,  33.00 ,1,แพ็ค, ฿ 33.00 ,1,แผ่น, ฿ 33.00 ,
173,FF-0077,สตรอว์เบอร์รีนำเข้า แพ็ค 250 กรัม,FF,77,แม็คโคร,1,กล่อง,  159.00 ,1,กล่อง, ฿ 159.00 ,9,ลูก, ฿ 17.67 ,
175,FF-0078,ซาลาเปาไส้หมูสับ,FF,78,โกเปร่ง,1,ลูก,  15.00 ,1,ลูก, ฿ 15.00 ,1,ลูก, ฿ 15.00 ,
177,FF-0079,ปลาเค็มแอนโชวี่ในน้ำมันมะกอก 50 กรัม,FF,79,น้าอ้อย,1,กล่อง,  100.00 ,1,กล่อง, ฿ 100.00 ,50,ลูก, ฿ 2.00 ,
,FF-0080,ส้มเจื้อง,FF,80,ตลาดสด,1,กิโล,  45.00 ,1,กิโล, ฿ 45.00 ,1000,กรัม, ฿ 0.05 ,28/3/25
178,FF-0081,สะโพกหมูบด กก.ละ (ST),FF,81,แม็คโคร,1,กิโล,  122.00 ,1,กิโล, ฿ 122.00 ,1000,กรัม, ฿ 0.12 ,
187,FF-0082,ส้มวาเลนเซีย,FF,82,แม็คโคร,1,ลูก,  20.00 ,1,ลูก, ฿ 20.00 ,1,กรัม, ฿ 20.00 ,
189,FF-0083,บลูเบอร์รี่จัมโบ้ แพ็ค 125 กรัม,FF,83,แม็คโคร,1,กล่อง,  79.00 ,1,กล่อง, ฿ 79.00 ,125,กรัม, ฿ 0.63 ,
190,FF-0084,กีวี่,FF,84,แม็คโคร,1,ลูก,  19.00 ,1,ลูก, ฿ 19.00 ,1,ลูก, ฿ 19.00 ,
193,FF-0085,ตะไคร้  500 กรัม,FF,85,แม็คโคร,1,กิโล,  45.00 ,1,แพ็ค, ฿ 45.00 ,500,กรัม, ฿ 0.09 ,
194,FF-0086,อัลฟาลฟ่า 50 กรัม,FF,86,แม็คโคร,1,กล่อง,  49.00 ,1,กล่อง, ฿ 49.00 ,50,กรัม, ฿ 0.98 ,
197,FF-0087,แตงไข่เข้,FF,87,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,500,กรัม, ฿ 0.04 ,
198,FF-0088,มะเขือตุ้งติ้ง 200 กรัม,FF,88,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,200,กรัม, ฿ 0.10 ,31/3/25
199,FF-0089,ผักน้ำ,FF,89,ตลาดสด,1,ถุง,  20.00 ,1,ถุง, ฿ 20.00 ,200,ถุง, ฿ 0.10 ,
204,FF-0090,แคนตาลูป (ลูกใหญ่),FF,90,แม็คโคร,1,ลูก,  90.00 ,1,ลูก, ฿ 90.00 ,3000,กรัม, ฿ 0.03 ,
205,FF-0091,มะละกอ สุกไม่มาก,FF,91,ตลาดสด,1,ลูก,  21.00 ,1,ลูก, ฿ 21.00 ,1,ลูก, ฿ 21.00 ,
209,FF-0092,แตงโม (ลูกประมาณ 3-5 กิโล),FF,92,ตลาดสด,1,ลูก,  100.00 ,1,ลูก, ฿ 100.00 ,5000,กรัม, ฿ 0.02 ,
214,FF-0093,กะหล่ำม่วง,FF,93,แม็คโคร,1,หัว,  49.00 ,1,หัว, ฿ 49.00 ,700,กรัม, ฿ 0.07 ,
219,FF-0094,กรีนโอ๊ค,FF,94,ข้างบ้าน,1,กิโล,  120.00 ,1,กิโล, ฿ 120.00 ,1000,กรัม, ฿ 0.12 ,
222,FF-0095,ส้มโอ,FF,95,ตลาดสด,1,ลูก,  60.00 ,1,ลูก, ฿ 60.00 ,1500,กรัม, ฿ 0.04 ,26/03/26
223,FF-0096,กุยช่าย,FF,96,ตลาดสด,1,มัด,  10.00 ,1,มัด, ฿ 10.00 ,1,มัด, ฿ 10.00 ,
235,FF-0097,เบสท์ฟู้ดส์ น้ำสลัดเทาซันไอแลนด์ 1 กิโลกรัม,FF,97,แม็คโคร,1,ถุง,  135.00 ,1,ถุง, ฿ 135.00 ,1000,กรัม, ฿ 0.14 ,26/03/26
244,FF-0098,ฝอยทอง เพชรบุรี 1 กิโล,FF,98,SK SUPPLY,1,กล่อง,  180.00 ,1,กล่อง, ฿ 180.00 ,1000,กรัม, ฿ 0.18 ,
245,FF-0099,ใบสะระแหน่,FF,99,ข้างเริน,1,กล่อง,  30.00 ,1,กล่อง, ฿ 30.00 ,50,ชิ้น, ฿ 0.60 ,
